id;region_id;address_district_id;address_settlement_type_id;name;kato_id;parent_name;id;resource;id;kato_version;address_settlement_id;kato_id;id;region_id;address_district_type_id;name;kato_id;id;resource;id;kato_version;address_district_id;kato_id;id;resource;region_type_id;code;kato_id;id;resource;id;kato_version;region_id;kato_id
1090;1004;102;6;Талкара;113255600;;6;settlement.type.aul;8270;1;1090;113255600;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1091;1004;102;41;Малоалександровка;113255700;;41;settlement.type.selo;8271;1;1091;113255700;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1092;1004;101;41;Кырыккудык;111851100;;41;settlement.type.selo;8272;1;1092;111851100;101;1004;7;Степногорск;111800000;7;district.type.ga;257;1;101;111800000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1093;1004;103;31;Аршалы;113430100;;31;settlement.type.poselok;8273;1;1093;113430100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1094;1004;103;6;Акбулак;113431100;;6;settlement.type.aul;8274;1;1094;113431100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1095;1004;103;41;Актасты;113431180;;41;settlement.type.selo;8275;1;1095;113431180;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1096;1004;103;6;Жибек жолы;113433100;;6;settlement.type.aul;8276;1;1096;113433100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1097;1004;103;6;Жалтырколь;113433200;;6;settlement.type.aul;8277;1;1097;113433200;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1098;1004;103;39;41;113433300;;39;settlement.type.razezd;8278;1;1098;113433300;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1099;1004;103;39;102;113433400;;39;settlement.type.razezd;8279;1;1099;113433400;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1100;1004;103;44;Анар;113435100;;44;settlement.type.stancia;8280;1;1100;113435100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1101;1004;103;41;Донецкое;113435500;;41;settlement.type.selo;8281;1;1101;113435500;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1102;1004;103;6;Берсуат;113437100;;6;settlement.type.aul;8282;1;1102;113437100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1103;1004;103;41;Байдала;113437200;;41;settlement.type.selo;8283;1;1103;113437200;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1104;1004;103;41;Волгодоновка;113441100;;41;settlement.type.selo;8284;1;1104;113441100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1105;1004;103;41;Береке;113441300;;41;settlement.type.selo;8285;1;1105;113441300;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1106;1004;103;41;Койгельды;113441500;;41;settlement.type.selo;8286;1;1106;113441500;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1107;1004;103;39;42;113441600;;39;settlement.type.razezd;8287;1;1107;113441600;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1108;1004;103;6;Арнасай;113442100;;6;settlement.type.aul;8288;1;1108;113442100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1109;1004;103;44;Бабатай;113442200;;44;settlement.type.stancia;8289;1;1109;113442200;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1110;1004;103;41;Ижевское;113443100;;41;settlement.type.selo;8290;1;1110;113443100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1111;1004;103;44;Шоптиколь;113443200;;44;settlement.type.stancia;8291;1;1111;113443200;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1112;1004;103;41;Константиновка;113445100;;41;settlement.type.selo;8292;1;1112;113445100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1113;1004;103;41;Белоярка;113445200;;41;settlement.type.selo;8293;1;1113;113445200;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1114;1004;103;41;Шортанды;113445400;;41;settlement.type.selo;8294;1;1114;113445400;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1115;1004;103;6;Турген;113447100;;6;settlement.type.aul;8295;1;1115;113447100;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1116;1004;103;41;Красное Озеро;113447200;;41;settlement.type.selo;8296;1;1116;113447200;103;1004;3;Aршалынский;113400000;3;district.type.raion;259;1;103;113400000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
